Season,TeamID,OffRating,DefRating,NetRating,Ast,DR,eFG,TS%,TORatio,OR%,FTARate,PIE,M
2003,1102,97.56706933305284,97.14101226172946,0.42605707132338466,364.0,471.0,0.579443447037702,59.745438959393226,21.211719475009943,0.30310880829015546,0.42998204667863554,0.5121212121212121,0.5152141445659166
2003,1103,104.63546447420235,103.79916786110341,0.8362966130989378,411.0,538.0,0.5348143236074271,57.81305210513441,18.292028752279798,0.44821731748726656,0.46286472148541113,0.5138955823293173,0.5278765693604839
2003,1104,97.75060705295505,91.7041777507104,6.046429302244647,339.0,670.0,0.4759525296689569,51.61358980498577,20.356791069278756,0.5547445255474452,0.3660212367270456,0.544783368952788,0.7085132014893325
2003,1105,88.01015594233355,94.00012904237448,-5.9899731000409275,378.0,601.0,0.45724094881398253,49.84506891761941,24.704563977180115,0.5057636887608069,0.3545568039950062,0.43167232918082293,0.285796240334266
2003,1106,88.30124549239768,88.49956384274557,-0.1983183503478898,327.0,668.0,0.47900516795865633,50.39686469814231,25.570923126407205,0.5204236006051437,0.29780361757105944,0.48695294842818987,0.4921991715416092
2003,1107,88.88940866044997,102.0831778765731,-13.19376921612313,334.0,567.0,0.4872591671845867,51.59234778720253,18.70748299319728,0.3811881188118812,0.23555003107520198,0.39600507292327203,0.1272968402660377
2003,1108,87.66243228769319,92.77607417114197,-5.1136418834487785,457.0,766.0,0.46904024767801855,50.30391951372878,25.47690763052209,0.5106132075471698,0.35655314757481943,0.45313479623824454,0.31246243146742175
2003,1110,96.3557159265615,89.8707003895654,6.485015536996102,427.0,694.0,0.5146326276463262,54.05625543006082,20.796040855006844,0.47619047619047616,0.30884184308841844,0.5439763488543976,0.724955161070908
2003,1111,97.64129209893775,95.83729594006593,1.8039961588718256,396.0,658.0,0.49940369707811566,54.11214836476337,20.714426294036606,0.49487554904831627,0.40608228980322003,0.5079702444208289,0.5644891509328306
2003,1112,103.80767866262177,85.57824976084535,18.229428901776416,494.0,774.0,0.5149456521739131,54.91369390103567,19.630156472261735,0.5366161616161617,0.3804347826086957,0.6475694444444444,0.936204016734728
2003,1113,102.61599632824844,93.43971340647589,9.176282921772554,451.0,676.0,0.5133333333333333,54.77374440576828,20.682628629648498,0.5544692737430168,0.46060606060606063,0.5779944289693594,0.786348237305921
2003,1114,94.54236369468666,94.5905749969277,-0.048211302241043086,322.0,640.0,0.5120805369127517,54.82860817536208,23.61081766321572,0.4704944178628389,0.4214765100671141,0.5019034261671008,0.4982271294917648
2003,1115,69.98843644746844,95.25949049894625,-25.271054051477805,285.0,589.0,0.3983552631578947,43.49623042170821,27.113318467464016,0.3980028530670471,0.3243421052631579,0.24101762999330506,0.013545005073516784
